State,Population_Covered,Total_Offenses,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism,Embezzlement,Extortion/Blackmail,Fraud Offenses,Larceny/Theft Offenses,Motor Vehicle Theft,Robbery,Stolen Property Offenses
Alabama,3734077,122274,456,11,12491,2483,27112,124,122,10712,55804,9902,1481,1576
Alaska,402557,7301,59,2,786,122,2199,22,34,602,2761,611,72,31
Arizona,3949562,104648,413,11,8763,1231,22229,261,256,14733,48802,5818,1129,1002
Arkansas,2916168,123785,557,2,14101,3056,27186,88,59,12169,54687,8110,1272,2498
California,2861998,81313,407,2,7103,960,14837,225,148,7873,34122,11272,2300,2064
Colorado,5766585,295735,1341,113,22988,3037,55838,329,887,41910,120385,40851,4310,3746
Connecticut,3605597,84370,163,5,5100,1120,16425,191,183,8528,41977,7407,1930,1341
Delaware,1003384,40185,155,5,2371,389,9217,116,64,9756,15395,1609,570,538
District of Columbia,670050,24749,5,1,760,140,7923,0,33,3390,9400,1716,1205,176
Florida,NA,969,0,0,22,6,99,6,0,78,662,50,24,22
Georgia,8709490,243173,688,26,18452,5436,43926,451,331,33582,114819,17985,4053,3424
Hawaii,1059012,35378,325,2,3463,395,1053,29,113,4170,20064,4286,734,744
Idaho,1889225,31407,140,3,2811,627,6959,118,90,5252,13226,1618,156,407
Illinois,7845636,156781,541,6,11465,1849,42370,67,171,24685,57784,11430,5955,458
Indiana,5229123,123469,720,19,11661,1800,10585,487,141,16032,65136,12585,2905,1398
Iowa,2927835,74513,327,72,7659,2565,15845,189,87,7832,32882,5799,681,575
Kansas,2614220,85034,433,6,6364,2457,22556,418,347,10446,34286,5681,645,1395
Kentucky,4505498,114954,418,42,12659,1962,20219,1103,111,9652,51527,11100,2238,3923
Louisiana,3321430,112262,255,13,15497,1922,21654,740,218,6063,54699,7497,1348,2356
Maine,1366119,26094,165,2,1713,460,6209,37,36,3102,13207,891,161,111
Maryland,2902491,64600,192,3,3691,1092,13445,272,157,10740,28682,4026,1701,599
Massachusetts,6937375,134009,311,15,9582,2322,29644,346,608,24521,55528,6819,2618,1695
Michigan,9785364,232118,1472,17,19990,2457,47250,1608,604,34204,94082,21283,4014,5137
Minnesota,5699338,189416,724,5,14430,4017,35062,197,205,22930,88623,14562,3996,4665
Mississippi,1673199,47697,185,5,6125,927,8779,750,53,4528,21874,3059,465,947
Missouri,5885677,205063,1106,10,17370,4166,40555,545,116,13960,97843,22462,3596,3334
Montana,1098323,35096,205,2,2530,773,8147,55,5,2210,17442,2967,289,471
Nebraska,1471365,36284,182,6,2342,977,9922,135,130,4784,15465,1750,240,351
Nevada,3130107,115149,407,18,12406,1585,21572,1172,267,13578,45412,13703,2312,2717
New Hampshire,1355329,27923,108,3,957,629,7353,118,143,5334,11534,892,181,671
New Jersey,3844336,51188,93,1,3114,1245,6052,125,201,10330,23380,5079,1243,325
New Mexico,1285483,68916,230,38,7249,593,15760,411,91,8583,25657,7316,2029,959
New York,3719239,85284,394,5,5305,998,22160,25,155,10025,39528,4082,1520,1087
North Carolina,9859219,337746,1420,11,36508,4324,61076,1913,816,43312,158155,18779,5840,5592
North Dakota,774948,26333,105,3,2983,579,4843,99,84,3032,11598,2085,191,731
Ohio,10536226,288592,1012,18,27867,2604,60964,138,500,34274,131168,19393,6613,4041
Oklahoma,3965482,150315,834,13,20469,3102,22946,1912,420,15471,64803,15256,1772,3317
Oregon,4093590,172886,1402,11,13278,2642,36405,238,226,16021,79546,19241,2498,1378
Pennsylvania,2173050,75149,544,3,4690,276,15707,170,112,10492,31604,7344,3886,321
Rhode Island,1094546,24698,95,4,1542,495,6065,99,64,3561,10398,1635,278,462
South Carolina,5112587,191881,677,11,18353,3522,34272,774,269,20095,93193,13937,2516,4262
South Dakota,824054,21932,72,5,2024,580,4306,183,23,1732,10572,1959,169,307
Tennessee,6968993,241615,936,24,22517,4597,45554,1430,609,25247,112912,20142,4924,2723
Texas,28865719,946717,2921,112,91628,18646,165521,2394,775,98477,452357,87047,22438,4401
Utah,3188815,107749,256,7,6968,1812,23747,82,309,12751,50959,7960,1038,1860
Vermont,645570,13817,43,0,1129,179,3249,59,17,1455,7006,450,65,165
Virginia,8640726,221013,647,30,10464,3489,47560,1569,814,36400,104537,11248,2929,1326
Washington,7700987,357551,1587,11,39475,3560,77062,140,718,24008,164309,35326,5680,5675
West Virginia,1575083,30705,237,4,3344,663,5807,101,13,2615,15198,1797,198,728
Wisconsin,5423821,131390,474,0,9298,2005,25830,540,275,15565,57234,15950,2648,1571
Wyoming,450309,10750,52,1,1056,174,2577,9,60,896,5005,851,47,22