,State,Video_Games
1,Alabama,Grand_Theft_Auto_V
2,Alaska,God_of_War
3,Arizona,Grand_Theft_Auto_V
4,Arkansas,Horizon Zero Dawn
5,California,God_of_War
6,Colorado,Elden Ring
7,Connecticut,Teenage_Mutant_Ninja_Turtles:_Shredder's_Revenge
8,Delaware,Teenage_Mutant_Ninja_Turtles:_Shredder's_Revenge
9,District of Columbia,Hades
10,Florida,Portal
11,Georgia,Grand_Theft_Auto_V
12,Hawaii,Doom
13,Idaho,Hades
14,Illinois,Grand_Theft_Auto_V
15,Indiana,Grand_Theft_Auto_V
16,Iowa,Horizon_Zero_Dawn
17,Kansas,Doom
18,Kentucky,Resident_Evil_2
19,Louisiana,God_of_War
20,Maine,Stardew_Valley
21,Maryland,Hades
22,Massachusetts,Horizon_Zero_Dawn
23,Michigan,Grand_Theft_Auto_V
24,Minnesota,The_Elder_Scrolls_V:_Skyrim_Special_Edition
25,Mississippi,Grand_Theft_Auto_V
26,Missouri,Grand_Theft_Auto_V
27,Montana,The_Witcher_3:_Wild_Hunt
28,Nebraska,God_of_War
29,Nevada,Horizon_Zero_Dawn
30,New Hampshire,Teenage_Mutant_Ninja_Turtles:_Shredder's_Revenge
31,New Jersey,Teenage_Mutant_Ninja_Turtles:_Shredder's_Revenge
32,New Mexico,BioShock
33,New York,Grand_Theft_Auto_V
34,North Carolina,Grand_Theft_Auto_V
35,North Dakota,Stardew_Valley
36,Ohio,Grand_Theft_Auto_V
37,Oklahoma,Tomb_Raider
38,Oregon,Elden Ring
39,Pennsylvania,Grand_Theft_Auto_V
40,Rhode Island,Portal
41,South Carolina,Tomb_Raider
42,South Dakota,Final_Fantasy_VII
43,Tennessee,Grand_Theft_Auto_V
44,Texas,Grand_Theft_Auto_V
45,Utah,The_Legend_of_Zelda:_Breath_of_the_Wild
46,Vermont,Tomb_Raider
47,Virginia,The_Elder_Scrolls_V:_Skyrim_Special_Edition
48,Washington,Doom
49,West Virginia,Red_Dead_Redemption_2
50,Wisconsin,Grand_Theft_Auto_V
51,Wyoming,Cyberpunk 2077